id,city_key,title,city,country,date,lat,lng,city_description,legal_protections,foreigner_friendliness,neighborhoods,spaces,summary,story,connection_tags,image_folder,image_count,image_ext,images,image_alt,accent
1,chicago-usa,,Chicago,USA,2025-05-25,41.8781,-87.6298,,,,,,,,,images/chicago,,,,,
2,abu-dhabi-united-arab-emirates,,Abu Dhabi,United Arab Emirates,2025-06-22,24.4539,54.3773,,,,,,,,,images/abu-dhabi,,,,,
3,seoul-south-korea,,Seoul,South Korea,2025-06-23,37.5665,126.9780,,,,,,,,global-queer-community,images/seoul,,,images/seoul/1.jpeg,,
4,busan-south-korea,,Busan,South Korea,2025-07-04,35.1796,129.0756,,,,,,,,,images/busan,,,,,
5,jeju-island-south-korea,,Jeju Island,South Korea,2025-07-11,33.4996,126.5312,,,,,,,,,images/jeju-island,,,,,
6,tokyo-japan,,Tokyo,Japan,2025-07-26,35.6762,139.6503,,,,,,,,design-language,images/tokyo,,,,,
7,hong-kong-hong-kong,,Hong Kong,Hong Kong,2025-07-30,22.3193,114.1694,,,,,,,,,images/hong-kong,,,,,
8,amsterdam-netherlands,,Amsterdam,Netherlands,2025-08-01,52.3676,4.9041,,,,,,,,global-queer-community,images/amsterdam,,,,,#26CEAA
9,antwerp-belgium,,Antwerp,Belgium,2025-08-06,51.2194,4.4025,,,,,,,,,images/antwerp,,,,,
10,barcelona-spain,,Barcelona,Spain,2025-08-11,41.3874,2.1686,,,,,,,,design-language,images/barcelona,,,,,
11,maastricht-netherlands,,Maastricht,Netherlands,2025-08-15,50.8514,5.6900,,,,,,,,,images/maastricht,,,,,
12,berlin-germany,,Berlin,Germany,2025-08-20,52.5200,13.4050,,,,,,,,rituals-of-belonging,images/berlin,,,,,
13,prague-czech-republic,,Prague,Czech Republic,2025-10-24,50.0755,14.4378,,,,,,,,,images/prague,,,,,
14,brussels-belgium,,Brussels,Belgium,2025-10-31,50.8503,4.3517,,,,,,,,,images/brussels,,,,,
15,london-united-kingdom,,London,United Kingdom,2025-11-21,51.5072,-0.1276,,,,,,,,rituals-of-belonging,images/london,,,,,
16,paris-france,,Paris,France,2025-12-19,48.8566,2.3522,,,,,,,,,images/paris,,,,,
17,hyderabad-india,,Hyderabad,India,2026-02-25,17.3850,78.4867,,,,,,,,,images/hyderabad,,,,,
18,taipei-taiwan,,Taipei,Taiwan,2026-03-06,25.0330,121.5654,,,,,,,,,images/taipei,,,,,
19,minneapolis-usa,,Minneapolis,USA,2025-06-04,44.9778,-93.2650,,,,,,,,,images/minneapolis,,,,,
20,chicago-usa,,Chicago,USA,2025-06-12,41.8781,-87.6298,,,,,,,,global-queer-community,images/chicago,,,,,
21,seoul-south-korea,,Seoul,South Korea,2025-07-06,37.5665,126.9780,,4,4,Itaewon,Rush,,,Who Has Membership?,images/seoul,,,,,
22,seoul-south-korea,,Seoul,South Korea,2025-07-13,37.5665,126.9780,,,,,,,,rituals-of-belonging,images/seoul,,,,,
